Displacement,Force,,Press,,Release
0,12.43,,,,
50,33.14,,,,
100,37.57,,,,
150,37.36,,,,
200,37.61,,,,
250,37.65,,,,
300,38.16,,,,
350,38.22,,,,
400,38.44,,,,
450,39.03,,,,
500,38.93,,,,
550,39.65,,,,
600,39.59,,,,
650,40.12,,,,
700,40.51,,,,
750,40.64,,,,
800,40.3,,,,
850,40.74,,,,
900,41.23,,,,
950,41.8,,,,
1000,42.18,,,,
1050,42.3,,,,
1100,42.66,,,,
1150,42.87,,,,
1200,43.1,,,,
1250,43.46,,,,
1300,43.54,,,,
1350,43.83,,,,
1400,44.48,,,,
1450,44.42,,,,
1500,44.98,,,,
1550,45.2,,,,
1600,45.22,,,,
1650,45.31,,,,
1700,45.74,,,,
1750,46.17,,,,
1800,46.63,,,,
1850,46.45,,,,
1900,46.96,,,,
1950,46.91,,,,
2000,47.38,,,,
2050,47.9,,,,
2100,48.12,,,,
2150,48.66,,,,
2200,48.85,,,,
2250,49.24,,,,
2300,49.68,,,,
2350,49.83,,,,
2400,50.36,,,,
2450,50.53,,,,
2500,50.8,,,,
2550,51.15,,,,
2600,51.62,,,,
2650,51.61,,,,
2700,52.01,,,,
2750,52.43,,,,
2800,52.92,,,,
2850,52.69,,,,
2900,53.13,,,,
2950,53.63,,,,
3000,53.99,,,,
3050,54.12,,,,
3100,54.6,,,,
3150,55.07,,,,
3200,55.35,,,,
3250,56.02,,,,
3300,55.79,,,,
3350,56.06,,,,
3400,56.64,,,,
3450,56.78,,,,
3500,57.24,,,,
3550,57.47,,,,
3600,57.63,,,,
3650,58.06,,,,
3700,58.64,,,,
3750,58.78,,,,
3800,59.23,,,,
3850,59.48,,,,
3900,59.68,,,,
3950,60.08,,,,
4000,60.52,,,,
4050,73.18,,,,
4100,109.62,,,,
4150,144.24,,,,
4100,88.61,,,,
4050,61.22,,,,
4000,60.03,,,,
3950,59.59,,,,
3900,59.19,,,,
3850,58.94,,,,
3800,58.78,,,,
3750,58.29,,,,
3700,58.04,,,,
3650,57.78,,,,
3600,57.62,,,,
3550,57.16,,,,
3500,56.91,,,,
3450,56.5,,,,
3400,56.19,,,,
3350,55.74,,,,
3300,55.57,,,,
3250,55.17,,,,
3200,54.93,,,,
3150,54.54,,,,
3100,54.23,,,,
3050,54.1,,,,
3000,53.54,,,,
2950,53.27,,,,
2900,52.97,,,,
2850,52.5,,,,
2800,52.13,,,,
2750,52,,,,
2700,51.79,,,,
2650,51.33,,,,
2600,50.87,,,,
2550,50.74,,,,
2500,50.37,,,,
2450,49.93,,,,
2400,49.55,,,,
2350,49.41,,,,
2300,48.68,,,,
2250,48.41,,,,
2200,47.75,,,,
2150,47.29,,,,
2100,46.59,,,,
2050,44.93,,,,
2000,42.94,,,,
1950,40.8,,,,
1900,39,,,,
1850,37.25,,,,
1800,36.92,,,,
1750,36.21,,,,
1700,35.72,,,,
1650,35.5,,,,
1600,34.84,,,,
1550,34.15,,,,
1500,33.88,,,,
1450,33.48,,,,
1400,33.39,,,,
1350,32.36,,,,
1300,31.94,,,,
1250,31.35,,,,
1200,30.4,,,,
1150,30.14,,,,
1100,29.71,,,,
1050,29.22,,,,
1000,29.09,,,,
950,28.41,,,,
900,27.71,,,,
850,27.56,,,,
800,26.87,,,,
750,27.16,,,,
700,26.07,,,,
650,25.55,,,,
600,25.83,,,,
550,25.23,,,,
500,24.4,,,,
450,24.64,,,,
400,23.89,,,,
350,23.36,,,,
300,23.13,,,,
250,22.94,,,,
200,22.48,,,,
150,22.35,,,,
100,21.83,,,,
50,13.59,,,,
0,2.87,,,,
