Displacement,Force,,Press,1600,Release,1400
0,0
100,9.08
200,19.3
300,30
400,39.31
500,48.79
600,57.36
700,64.3
800,67.2
900,64.72
1000,56.85
1100,46.62
1200,36.9
1300,32.11
1400,33.53
1500,37.05
1600,43.87
1700,52.39
1800,61.69
1900,71.99
2000,83.31
2100,98.2
2200,118.37
2300,143.01
2400,172.23
2500,205.42
2400,165.54
2300,131.43
2200,105.6
2100,85.12
2000,71.74
1900,60.86
1800,51.36
1700,42.9
1600,36.09
1500,31.34
1400,28.96
1300,28
1200,32.06
1100,39.52
1000,48.44
900,56.77
800,61.47
700,60.13
600,53.98
500,45.47
400,36.06
300,26.6
200,15.68
100,5.75
0,0.04
