Displacement,Force,,Press,0,Release,0
0,3.84
100,15.47
200,25.88
300,34.98
400,43.37
500,51.93
600,58.68
700,63.52
800,66.76
900,66.63
1000,63.06
1100,57.84
1200,51.72
1300,46.09
1400,39.95
1500,39.19
1600,40.61
1700,43.13
1800,48.76
1900,54.4
2000,61
2100,67.62
2200,73.23
2300,79.2
2400,85.89
2500,94.63
2600,103.69
2500,92.9
2400,83.46
2300,76.08
2200,69.71
2100,62.27
2000,56.59
1900,49.46
1800,43.45
1700,38.58
1600,35.45
1500,34
1400,34.06
1300,37.91
1200,43.91
1100,49.64
1000,54.75
900,59.64
800,61.62
700,60.54
600,56.73
500,50.98
400,43.56
300,33.3
200,25.22
100,16.01
0,3.8
